1|Introduction to Operating systems|1
2|Processes/Threads management|1
3|Process and Threads
4|CPU scheduling
5|Synchronization
6|Memory management|1
7|Main memory
8|Virtual memory
9|Storage management|1
10|File systems
11|Advanced topics|1
